datetime,Mean CH - layer 3 (Lower Semi-Confined Aquifer)
6/1/1974,95.54751945
7/1/1974,95.38173507
8/1/1974,95.1884517
9/1/1974,94.97581564
10/1/1974,94.75063898
11/1/1974,94.42497631
12/1/1974,94.1116547
1/1/1975,93.9346745
2/1/1975,93.77318371
3/1/1975,93.66151238
4/1/1975,93.55432691
5/1/1975,93.45840666
6/1/1975,93.37544618
7/1/1975,93.29955121
8/1/1975,93.22258618
9/1/1975,93.14686577
10/1/1975,93.06094732
11/1/1975,92.981264
12/1/1975,92.90526632
1/1/1976,92.80549303
2/1/1976,92.72825281
3/1/1976,92.64158213
4/1/1976,92.56103195
5/1/1976,92.4825013
6/1/1976,92.40706093
7/1/1976,92.34646278
8/1/1976,92.28498649
9/1/1976,92.23201448
10/1/1976,92.18036294
11/1/1976,92.11612319
12/1/1976,92.06702524
1/1/1977,91.96645673
2/1/1977,90.20378405
3/1/1977,86.08195875
4/1/1977,82.81474594
5/1/1977,81.22733768
6/1/1977,80.18863613
7/1/1977,79.17968444
8/1/1977,78.03189261
9/1/1977,77.15561788
10/1/1977,75.99001334
11/1/1977,75.33177226
12/1/1977,74.56274858
1/1/1978,73.98388598
2/1/1978,73.39980705
3/1/1978,72.91773386
4/1/1978,72.55641029
5/1/1978,72.27733441
6/1/1978,72.01129824
7/1/1978,71.7582357
8/1/1978,71.45873474
9/1/1978,71.23974546
10/1/1978,71.06384357
11/1/1978,70.8386378
12/1/1978,70.65776001
1/1/1979,70.48677765
2/1/1979,70.32113157
3/1/1979,70.20243719
4/1/1979,70.09779771
5/1/1979,69.99514973
6/1/1979,69.89174066
7/1/1979,69.80154063
8/1/1979,69.71274302
9/1/1979,69.62206759
10/1/1979,69.53834048
11/1/1979,69.45643989
12/1/1979,69.3679953
1/1/1980,69.31361343
2/1/1980,69.19391318
3/1/1980,69.13789787
4/1/1980,69.08124297
5/1/1980,69.03085004
6/1/1980,68.95821835
7/1/1980,68.93377574
8/1/1980,68.88991376
9/1/1980,68.85400609
10/1/1980,68.81752434
11/1/1980,68.77500529
12/1/1980,68.75215035
1/1/1981,68.72827423
2/1/1981,68.70298521
3/1/1981,68.68095148
4/1/1981,68.65725075
5/1/1981,68.63701621
6/1/1981,68.61416025
7/1/1981,68.59200148
8/1/1981,68.571209
9/1/1981,68.54516823
10/1/1981,68.52917643
11/1/1981,68.50281074
12/1/1981,68.48549702
1/1/1982,68.48958047
2/1/1982,68.46971835
3/1/1982,68.45283774
4/1/1982,68.43561475
5/1/1982,68.4203849
6/1/1982,68.39494844
7/1/1982,68.37490776
8/1/1982,68.36347811
9/1/1982,68.35321624
10/1/1982,68.34017706
11/1/1982,68.32860581
12/1/1982,68.32079258
1/1/1983,68.31306907
2/1/1983,68.30556129
3/1/1983,68.29891303
4/1/1983,68.28779901
5/1/1983,68.28124116
6/1/1983,68.27505666
7/1/1983,68.26977459
8/1/1983,68.28003132
9/1/1983,68.27612256
10/1/1983,68.27627013
11/1/1983,68.27385301
12/1/1983,68.27204268
1/1/1984,68.27066457
2/1/1984,68.26966623
3/1/1984,68.26893836
4/1/1984,68.27893038
5/1/1984,68.27847259
6/1/1984,68.2781256
7/1/1984,68.27788307
8/1/1984,68.29195228
9/1/1984,68.29180449
10/1/1984,68.29172457
11/1/1984,68.28459847
12/1/1984,68.27045954
1/1/1985,68.27045954
2/1/1985,68.27045954
3/1/1985,68.27045954
4/1/1985,68.27045954
5/1/1985,68.27045954
6/1/1985,68.27045954
7/1/1985,68.27045954
8/1/1985,68.27045954
9/1/1985,68.27045954
10/1/1985,68.27045954
11/1/1985,68.27045954
12/1/1985,68.27045954
1/1/1986,68.27045954
2/1/1986,68.27045954
3/1/1986,68.27045954
4/1/1986,68.27045954
5/1/1986,68.27045954
6/1/1986,68.27045954
7/1/1986,68.27045954
8/1/1986,68.27045954
9/1/1986,68.27045954
10/1/1986,68.27045954
11/1/1986,68.27045954
12/1/1986,68.27045954
1/1/1987,68.27045954
2/1/1987,68.27045954
3/1/1987,68.27045954
4/1/1987,68.27045954
5/1/1987,68.27045954
6/1/1987,68.27045954
7/1/1987,68.27045954
8/1/1987,68.25681298
9/1/1987,68.25681298
10/1/1987,68.25100689
11/1/1987,68.24941467
12/1/1987,68.2436062
1/1/1988,68.2436062
2/1/1988,68.2436062
3/1/1988,68.2436062
4/1/1988,68.2436062
5/1/1988,68.2436062
6/1/1988,68.2436062
7/1/1988,68.2436062
8/1/1988,68.2436062
9/1/1988,68.24314822
10/1/1988,68.23457003
11/1/1988,68.23287735
12/1/1988,68.19734161
1/1/1989,68.189391
2/1/1989,68.18553485
3/1/1989,68.18790022
4/1/1989,68.18584359
5/1/1989,68.18721669
6/1/1989,68.18538192
7/1/1989,68.1815081
8/1/1989,68.17954312
9/1/1989,68.16238552
10/1/1989,68.14265042
11/1/1989,68.12188153
12/1/1989,68.10530366
1/1/1990,68.10045667
2/1/1990,68.0751775
3/1/1990,68.06299822
4/1/1990,68.05258473
