datetime,layer 3 (Lower Aquifer)
07/01/2012,-174.7809982
08/01/2012,-174.7809982
09/01/2012,-174.7809982
10/01/2012,-174.7809982
11/01/2012,-174.7809982
12/01/2012,-174.7809982
01/01/2013,-174.7809982
02/01/2013,-174.7809982
03/01/2013,-174.7809982
04/01/2013,-174.7809982
05/01/2013,-174.7809982
06/01/2013,-174.7809982
07/01/2013,-174.7809982
08/01/2013,-174.7809982
09/01/2013,-174.7809982
10/01/2013,-174.7809982
11/01/2013,-174.7809982
12/01/2013,-174.7809982
01/01/2014,-174.7809982
02/01/2014,-174.7809982
03/01/2014,-174.7809982
04/01/2014,-174.7809982
05/01/2014,-174.7809982
06/01/2014,-174.7809982
07/01/2014,-174.7809982
08/01/2014,-174.7809982
09/01/2014,-174.7810951
10/01/2014,-174.7813898
11/01/2014,-174.782475
12/01/2014,-174.7880111
01/01/2015,-174.8027188
02/01/2015,-174.839566
03/01/2015,-174.8704314
04/01/2015,-174.9115351
05/01/2015,-174.9337973
06/01/2015,-174.9721603
07/01/2015,-175.0218056
08/01/2015,-175.0760481
09/01/2015,-175.1149236
10/01/2015,-175.1611033
11/01/2015,-175.2249356
12/01/2015,-175.334582
01/01/2016,-175.4707558
02/01/2016,-175.6136429
03/01/2016,-175.7164796
04/01/2016,-175.7606046
05/01/2016,-175.8393736
06/01/2016,-175.8967434
07/01/2016,-175.9561803
08/01/2016,-176.0389655
09/01/2016,-176.1133378
10/01/2016,-176.1845179
11/01/2016,-176.2581567
12/01/2016,-176.3410511
01/01/2017,-176.4191547
02/01/2017,-176.4720579
03/01/2017,-176.5233383
04/01/2017,-176.5566732
05/01/2017,-176.5701971
06/01/2017,-176.5789058
07/01/2017,-176.5864313
08/01/2017,-176.5931023
09/01/2017,-176.5984713
10/01/2017,-176.6014163
11/01/2017,-176.6019952
12/01/2017,-176.6020511
01/01/2018,-176.6020629
02/01/2018,-176.6020659
03/01/2018,-176.6020676
04/01/2018,-176.6020676
05/01/2018,-176.6020676
06/01/2018,-176.6020676
07/01/2018,-176.6020676
08/01/2018,-176.6020676
09/01/2018,-176.6020676
10/01/2018,-176.6020676
11/01/2018,-176.6020676
12/01/2018,-176.6020676
01/01/2019,-176.6020676
02/01/2019,-176.6020676
03/01/2019,-176.6020676
04/01/2019,-176.6020676
05/01/2019,-176.6020676
06/01/2019,-176.6020676
07/01/2019,-176.6020676
08/01/2019,-176.6020676
09/01/2019,-176.6020676
10/01/2019,-176.6020676
11/01/2019,-176.6020676
12/01/2019,-176.6020676
01/01/2020,-176.6020676
02/01/2020,-176.6020676
03/01/2020,-176.6020676
04/01/2020,-176.6020676
05/01/2020,-176.6023233
06/01/2020,-176.6096977
07/01/2020,-176.6294718
08/01/2020,-176.6580033
09/01/2020,-176.6669871
10/01/2020,-176.6953161
11/01/2020,-176.7006136
12/01/2020,-176.714785
01/01/2021,-176.72527
02/01/2021,-176.7332477
03/01/2021,-176.7398675
04/01/2021,-176.7296797
05/01/2021,-176.7364134
06/01/2021,-176.7608147
07/01/2021,-176.7681789
08/01/2021,-176.7774392
09/01/2021,-176.8057355
10/01/2021,-176.8342099
11/01/2021,-176.8995883
12/01/2021,-176.9494501
01/01/2022,-177.0045467
02/01/2022,-177.0401765
03/01/2022,-177.1046514
04/01/2022,-177.16308
05/01/2022,-177.2401641
06/01/2022,-177.2974547
07/01/2022,-177.3527847
08/01/2022,-177.3924464
09/01/2022,-177.4499419
10/01/2022,-177.5114221
11/01/2022,-177.5665408
12/01/2022,-177.7104658
01/01/2023,-177.7829938
02/01/2023,-177.8420687
03/01/2023,-177.8875141
04/01/2023,-177.9090234
05/01/2023,-177.9182223
06/01/2023,-177.926933
07/01/2023,-177.934801
08/01/2023,-177.9420708
09/01/2023,-177.9595959
10/01/2023,-177.9630523
11/01/2023,-177.964049
12/01/2023,-177.9642399
01/01/2024,-177.9642742
02/01/2024,-177.9642941
