Aquifer,Upper,Lower,Upper,Lower,Upper,Lower,Upper,Lower,Upper,Lower,Upper,Lower,Upper,Lower,,,,
Scenario,No SGMA,,Historical lows,,MT (glidepath not below MT),,MT (glidepath 50% below MT),,No pumping (current level),,Injection (rebound @2020-23 rate),,Optimization,,,,,
Date,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,,,,
2035-12-01 00:00:00,101.5790613,-87.27515458,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2036-01-01 00:00:00,101.2953562,-88.02464159,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2036-02-01 00:00:00,101.0116511,-88.77412859,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2036-03-01 00:00:00,100.7279461,-89.5236156,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2036-04-01 00:00:00,100.444241,-90.2731026,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2036-05-01 00:00:00,100.160536,-91.0225896,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2036-06-01 00:00:00,99.87683089,-91.77207661,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2036-07-01 00:00:00,99.59312583,-92.52156361,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2036-08-01 00:00:00,99.30942077,-93.27105062,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2036-09-01 00:00:00,99.02571571,-94.02053762,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2036-10-01 00:00:00,98.74201065,-94.77002462,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2036-11-01 00:00:00,98.45830559,-95.51951163,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2036-12-01 00:00:00,98.17460053,-96.26899863,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2037-01-01 00:00:00,97.89089547,-97.01848564,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2037-02-01 00:00:00,97.60719041,-97.76797264,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2037-03-01 00:00:00,97.32348535,-98.51745964,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2037-04-01 00:00:00,97.03978029,-99.26694665,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2037-05-01 00:00:00,96.75607523,-100.0164337,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2037-06-01 00:00:00,96.47237017,-100.7659207,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2037-07-01 00:00:00,96.18866511,-101.5154077,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2037-08-01 00:00:00,95.90496005,-102.2648947,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2037-09-01 00:00:00,95.62125499,-103.0143817,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2037-10-01 00:00:00,95.33754993,-103.7638687,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2037-11-01 00:00:00,95.05384487,-104.5133557,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2037-12-01 00:00:00,94.77013981,-105.2628427,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2038-01-01 00:00:00,94.48643475,-106.0123297,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2038-02-01 00:00:00,94.20272969,-106.7618167,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2038-03-01 00:00:00,93.91902463,-107.5113037,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2038-04-01 00:00:00,93.63531957,-108.2607907,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2038-05-01 00:00:00,93.35161451,-109.0102777,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
2038-06-01 00:00:00,93.06790945,-109.7597647,107.89,-6.838666667,86.49,28.27,,,,,220.67,194.1366667,,,,,,
