datetime,Mean CH  - layer 2 (Principal Aquifer (Outside Corcoran))
7/1/1976,162.8836142
8/1/1976,162.8304219
9/1/1976,162.7751718
10/1/1976,162.7272346
11/1/1976,162.1962345
12/1/1976,161.8860177
1/1/1977,161.7700177
2/1/1977,161.6948299
3/1/1977,161.6510548
4/1/1977,161.6056021
5/1/1977,161.5622271
6/1/1977,161.5182619
7/1/1977,161.4764454
8/1/1977,161.4225837
9/1/1977,161.3099915
10/1/1977,160.0097978
11/1/1977,158.5391665
12/1/1977,157.8307535
1/1/1978,157.435735
2/1/1978,157.3196586
3/1/1978,157.2717015
4/1/1978,157.2167596
5/1/1978,157.1627994
6/1/1978,157.0654162
7/1/1978,156.9655468
8/1/1978,156.3144803
9/1/1978,155.9716238
10/1/1978,155.7533275
11/1/1978,155.6602693
12/1/1978,155.5922435
1/1/1979,155.5352596
2/1/1979,155.482379
3/1/1979,155.4358981
4/1/1979,155.3867669
5/1/1979,155.3384599
6/1/1979,155.2964796
7/1/1979,155.2597479
8/1/1979,155.2186243
9/1/1979,155.183365
10/1/1979,155.1514672
11/1/1979,155.125288
12/1/1979,155.1052846
1/1/1980,155.0834471
2/1/1980,155.0666847
3/1/1980,155.049741
4/1/1980,155.0369931
5/1/1980,155.0265778
6/1/1980,155.0176458
7/1/1980,155.0104104
8/1/1980,155.0081013
9/1/1980,155.002666
10/1/1980,155.001912
11/1/1980,154.9975595
12/1/1980,154.9935925
1/1/1981,154.9895456
2/1/1981,154.9853936
3/1/1981,154.9815348
4/1/1981,154.9771347
5/1/1981,154.9728012
6/1/1981,154.9742721
7/1/1981,154.9697873
8/1/1981,154.9595884
9/1/1981,154.9593387
10/1/1981,154.9538903
11/1/1981,154.9554567
12/1/1981,154.9471022
1/1/1982,154.938747
2/1/1982,154.9321393
3/1/1982,154.9222003
4/1/1982,154.9095863
5/1/1982,154.8962925
6/1/1982,154.8853034
7/1/1982,154.8760212
8/1/1982,154.8642871
9/1/1982,154.8479413
10/1/1982,154.8317514
11/1/1982,154.7908406
12/1/1982,154.725542
1/1/1983,154.6917951
2/1/1983,154.6683065
3/1/1983,154.6479375
4/1/1983,154.6262639
5/1/1983,154.6056231
6/1/1983,154.5848402
7/1/1983,154.5657509
8/1/1983,154.547459
9/1/1983,154.5310015
10/1/1983,154.5167965
11/1/1983,154.5020244
12/1/1983,154.4904672
1/1/1984,154.483878
2/1/1984,154.4743419
3/1/1984,154.46919
4/1/1984,154.4605295
5/1/1984,154.4557213
6/1/1984,154.4542636
7/1/1984,154.4519105
8/1/1984,154.4525628
9/1/1984,154.4512122
10/1/1984,154.4501762
11/1/1984,154.4498017
12/1/1984,154.3808333
1/1/1985,154.3843102
2/1/1985,154.3833992
3/1/1985,154.3824638
4/1/1985,154.3833997
5/1/1985,154.3819585
6/1/1985,154.3824041
7/1/1985,154.3827447
8/1/1985,154.3811057
9/1/1985,154.3795767
10/1/1985,154.3782626
11/1/1985,154.3771057
12/1/1985,154.3761478
1/1/1986,154.3752847
2/1/1986,154.3745247
3/1/1986,154.3739129
4/1/1986,154.3752525
5/1/1986,154.3747217
6/1/1986,154.3742686
7/1/1986,154.3757542
8/1/1986,154.3753727
9/1/1986,154.3731671
10/1/1986,154.3729223
11/1/1986,154.3727202
12/1/1986,154.3725676
1/1/1987,154.3724435
2/1/1987,154.3723401
3/1/1987,154.3722626
4/1/1987,154.372194
5/1/1987,154.3652814
6/1/1987,154.3652329
7/1/1987,154.3512536
8/1/1987,154.2742744
9/1/1987,153.8041895
10/1/1987,152.9193789
11/1/1987,152.1045554
12/1/1987,150.4848049
1/1/1988,150.3834216
2/1/1988,150.3555407
3/1/1988,150.3512514
4/1/1988,150.3496264
5/1/1988,150.3482342
6/1/1988,150.3409969
7/1/1988,150.2997765
8/1/1988,150.1457477
9/1/1988,148.3171649
10/1/1988,147.0484257
11/1/1988,144.8899488
12/1/1988,143.7690569
1/1/1989,143.4725374
2/1/1989,143.3312506
3/1/1989,143.2629852
4/1/1989,143.2020677
5/1/1989,143.1450942
6/1/1989,143.0821093
7/1/1989,143.020998
8/1/1989,142.9503773
9/1/1989,142.7969636
10/1/1989,142.6227554
11/1/1989,142.4080768
12/1/1989,142.1693009
1/1/1990,142.0836784
2/1/1990,142.0184926
3/1/1990,141.9652133
4/1/1990,141.9121507
5/1/1990,141.847809
6/1/1990,140.7825467
7/1/1990,138.6803383
8/1/1990,137.8878806
9/1/1990,136.105883
10/1/1990,133.9668662
11/1/1990,132.6408818
12/1/1990,132.3148877
1/1/1991,132.1963153
2/1/1991,132.108657
3/1/1991,132.0374787
4/1/1991,131.9684352
5/1/1991,131.8929567
6/1/1991,131.8190443
7/1/1991,131.7501103
8/1/1991,131.6840732
9/1/1991,131.6256635
10/1/1991,131.5686638
11/1/1991,131.4838249
12/1/1991,131.3824943
1/1/1992,131.2714342
2/1/1992,131.1956847
3/1/1992,131.1351572
4/1/1992,131.0738759
5/1/1992,131.0156216
6/1/1992,130.9534818
7/1/1992,130.8992826
8/1/1992,130.845593
9/1/1992,130.7843705
10/1/1992,130.0827328
11/1/1992,128.5718201
12/1/1992,128.1614064
1/1/1993,128.0297459
2/1/1993,127.9594731
3/1/1993,127.9076552
4/1/1993,127.8502609
5/1/1993,127.7955387
6/1/1993,127.7364252
7/1/1993,127.6727268
8/1/1993,127.6215281
9/1/1993,127.5663549
10/1/1993,127.5016496
11/1/1993,127.4356578
12/1/1993,127.362417
1/1/1994,127.3103171
2/1/1994,127.2569968
3/1/1994,127.2153018
4/1/1994,127.1685292
5/1/1994,127.125221
6/1/1994,127.0734558
7/1/1994,127.0325243
8/1/1994,126.9831501
9/1/1994,126.8664493
10/1/1994,126.6837638
11/1/1994,126.0756617
12/1/1994,124.9636737
1/1/1995,124.7303982
2/1/1995,124.6297515
3/1/1995,124.5727752
4/1/1995,124.5229294
5/1/1995,124.4695524
6/1/1995,124.4189754
7/1/1995,124.3645821
8/1/1995,124.2902628
9/1/1995,124.0319339
10/1/1995,122.5545811
11/1/1995,122.2343675
12/1/1995,121.6013387
1/1/1996,121.4895769
2/1/1996,121.4318429
3/1/1996,121.3860665
4/1/1996,121.3382527
5/1/1996,121.2908306
6/1/1996,121.2481999
7/1/1996,121.2146225
8/1/1996,121.1780547
9/1/1996,121.1440012
10/1/1996,121.1104357
11/1/1996,121.0683895
12/1/1996,120.7937604
1/1/1997,120.6765481
2/1/1997,120.5743178
3/1/1997,120.502336
4/1/1997,120.4348839
5/1/1997,120.3759097
6/1/1997,120.023345
7/1/1997,119.5416879
8/1/1997,118.5808929
9/1/1997,117.2150911
10/1/1997,115.951939
11/1/1997,114.3285602
12/1/1997,112.8681254
1/1/1998,112.6726764
2/1/1998,112.6113633
3/1/1998,112.5641808
4/1/1998,112.5106416
5/1/1998,112.4614248
6/1/1998,112.4147118
7/1/1998,112.3738844
8/1/1998,112.3327434
9/1/1998,112.299289
10/1/1998,112.2632519
11/1/1998,112.2324002
12/1/1998,112.2010466
1/1/1999,112.1732758
2/1/1999,112.1493625
3/1/1999,112.1222345
4/1/1999,112.0996487
5/1/1999,112.0784714
6/1/1999,112.0569826
7/1/1999,112.0359776
8/1/1999,112.0161832
9/1/1999,111.9927334
10/1/1999,111.9274549
11/1/1999,110.8729772
12/1/1999,110.1058639
1/1/2000,109.7840389
2/1/2000,109.6186536
3/1/2000,109.4609259
4/1/2000,109.3152456
5/1/2000,108.3728978
6/1/2000,107.8683864
7/1/2000,107.1459952
8/1/2000,106.9875553
9/1/2000,106.0140232
10/1/2000,105.1547005
11/1/2000,104.2252335
12/1/2000,103.0132806
1/1/2001,102.3632574
2/1/2001,101.4157953
3/1/2001,100.0948069
4/1/2001,99.34310737
5/1/2001,99.06627163
6/1/2001,98.5201176
7/1/2001,97.70982873
8/1/2001,96.82870594
9/1/2001,96.60008642
10/1/2001,96.36454766
11/1/2001,96.24562498
12/1/2001,96.08653767
1/1/2002,95.89496205
2/1/2002,95.77604487
3/1/2002,95.68848657
4/1/2002,95.5855274
5/1/2002,95.36292495
6/1/2002,94.88804543
7/1/2002,94.62100852
8/1/2002,94.44108293
9/1/2002,94.22905199
10/1/2002,93.81735062
11/1/2002,93.64416784
12/1/2002,93.07014275
1/1/2003,92.87093531
2/1/2003,92.57963251
3/1/2003,92.39464349
4/1/2003,92.26655557
5/1/2003,92.12759046
6/1/2003,91.99129469
7/1/2003,91.6116698
8/1/2003,91.44015112
9/1/2003,91.27233479
10/1/2003,91.09411792
11/1/2003,90.98240717
12/1/2003,90.86023316
1/1/2004,90.76232733
2/1/2004,90.66999212
3/1/2004,90.6008761
4/1/2004,90.53261301
5/1/2004,90.4646713
6/1/2004,90.40731624
7/1/2004,90.34605836
8/1/2004,90.29175934
9/1/2004,90.23407663
10/1/2004,90.17484532
11/1/2004,90.10821854
12/1/2004,90.04498457
1/1/2005,89.98841789
2/1/2005,89.92796479
3/1/2005,89.88567058
4/1/2005,89.84681892
5/1/2005,89.80706535
6/1/2005,89.76212627
7/1/2005,89.69511251
8/1/2005,89.57344597
9/1/2005,89.47523525
10/1/2005,89.28527907
11/1/2005,89.17779488
12/1/2005,89.09400023
1/1/2006,88.99723731
2/1/2006,88.88638398
3/1/2006,88.8150624
4/1/2006,88.42998222
5/1/2006,88.30100966
6/1/2006,88.20033315
7/1/2006,87.79734843
8/1/2006,87.18135584
9/1/2006,86.31603866
10/1/2006,85.6848055
11/1/2006,84.96644689
12/1/2006,84.45962951
1/1/2007,84.2565081
2/1/2007,84.14793572
3/1/2007,84.05718924
4/1/2007,83.98866914
5/1/2007,83.93731809
6/1/2007,83.90246837
7/1/2007,83.86592345
